LABEL,SUBLABEL,COLORS
Materials & Manufacturing,Additive Manufacturing,#AC2A37
Materials & Manufacturing,Energy,#AC2A37
Materials & Manufacturing,MPI,#AC2A37
Materials & Manufacturing,Advanced Casting & Research Center,#AC2A37
Materials & Manufacturing,Nano Materials,#AC2A37
Materials & Manufacturing,Water,#AC2A37
Health & Biotechnology,Biological Response Mechanisms & Detections,#2AAC33
Health & Biotechnology,Digital Health (HDI),#2AAC33
Health & Biotechnology,Healthcare Cyber Physical Systems,#2AAC33
Health & Biotechnology,Neuroscience & Neuroengineering,#2AAC33
Health & Biotechnology,Regenerative Medicine & Biomanufacturing Group,#2AAC33
Smart World,Robotics,#332AAC
Smart World,Cybersecurity,#332AAC
Smart World,Intelligent Systems,#332AAC
Smart World,Autonomous Vehicles,#332AAC
Smart World,Computational Molecular Modeling,#332AAC
Smart World,Systems Engineering,#332AAC
Smart World,Smart Cities,#ACAC2A
Smart World,Smart Environments,#ACAC2A
Smart World,Learning Sciences,#ACAC2A
Smart World,User Experience,#ACAC2A
Smart World,Data Science,#ACAC2A
Smart World,Fire Protection,#ACAC2A
